Id,SalePrice
1461,124659.73177622414
1462,160423.85758511312
1463,188810.11227568457
1464,197775.3272405423
1465,176777.07253358618
1466,174025.07301762895
1467,170444.97258175776
1468,168043.59624947247
1469,184089.12582965076
1470,128786.8043506446
1471,209737.8912384441
1472,96180.20752798817
1473,92172.89765571765
1474,151598.74970677512
1475,114489.37102976399
1476,351181.8398579908
1477,243003.74916043272
1478,299217.78872333956
1479,290562.300385002
1480,525999.111012506
1481,311668.161856351
1482,207267.82108306402
1483,173420.12180575114
1484,165250.3877163746
1485,182789.0274916483
1486,200943.0443107614
1487,314861.8225865033
1488,221619.25796155442
1489,206793.4145288629
1490,243581.4203876076
1491,187268.97226919822
1492,86839.96263914676
1493,188286.37635378924
1494,283407.99524898245
1495,275584.43010635534
1496,253502.18953426302
1497,177636.82253749325
1498,160593.536837695
1499,157374.65295233138
1500,157958.79834689762
1501,176697.9636795641
1502,146124.08582354782
1503,264524.48662051535
1504,238350.2426515358
1505,224215.05732501554
1506,182381.11733480374
1507,259691.50459985773
1508,194456.7776614362
1509,155511.01557316276
1510,150507.99479005154
1511,147479.69595544497
1512,173242.10710954727
1513,144366.0167892817
1514,140253.5079747831
1515,182312.59172239393
1516,154770.02803264937
1517,163213.88523270583
1518,129130.15120660762
1519,219724.904358965
1520,138531.30232932986
1521,139887.35962906762
1522,170126.7507279757
1523,111481.16868733049
1524,122889.7648058072
1525,124414.68210848489
1526,115254.45135232017
1527,97259.27127988647
1528,131145.34905623543
1529,148170.68539431776
1530,168453.51111796888
1531,119988.9273393756
1532,96536.62402890016
1533,145735.15215617983
1534,118470.20807783943
1535,151596.65949814912
1536,118173.97295308467
1537,80121.93353494999
1538,132560.30067179052
1539,169401.98115157255
1540,107257.42952531348
1541,138835.27911952356
1542,132648.35332958528
1543,172150.27942840764
1544,85120.50186746962
1545,106118.33273664604
1546,139886.01759999487
1547,143499.0987528338
1548,135333.05683775418
1549,113385.28603625824
1550,146558.99862721981
1551,114169.69788056833
1552,147947.74620018934
1553,146109.0289748208
1554,113227.46039905098
1555,171066.88107234874
1556,92358.87288250228
1557,97084.05915454259
1558,89461.94840436812
1559,96269.8415111058
1560,142825.3641662705
1561,140237.19242632663
1562,129050.22348484823
1563,125874.23566605155
1564,161660.23204164894
1565,151702.63102792532
1566,220091.48042076244
1567,75500.98307954587
1568,232573.27137444622
1569,147496.4741269407
1570,141705.25842280476
1571,127947.0207630444
1572,143241.33440663508
1573,233886.338654043
1574,129410.21848552578
